model,strategy,target_frac,hold_frac,market,split,ann,sharpe,mdd,avg_turnover,avg_holding_days,total_cost,reliability,source
V9 topfocus average_w3,retention target0.400/hold0.900,0.4,0.9,legacy,test,53.777673074402735,2.4272260134608388,0.1243789897944551,0.0528236961715289,49.488060164366566,0.01407314521691,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_test_legacy_widegrid\v9_retention_summary.csv
V10 seed5590,retention target0.300/hold0.800,0.3,0.8,legacy,test,48.73162521788386,2.161032194272129,0.125810499648305,0.0954631828413205,23.1099404489235,0.025634842027424,same_engine_full_cost,h3h5h7_longonly_test_market_legacy_t30h80
V10 seed5590,retention target0.200/hold0.800,0.2,0.8,legacy,test,49.59328430444745,2.154128597602289,0.133001906332632,0.0935637543747184,23.736412830366245,0.0251198119987049,same_engine_full_cost,h3h5h7_longonly_test_market_legacy_one
V10 seed5590,retention target0.200/hold0.900,0.2,0.9,legacy,test,48.52713231817189,2.144597062683258,0.1343939864446833,0.0606578712694938,41.48910212474298,0.0161973817947232,same_engine_full_cost,h3h5h7_longonly_test_market_legacy_hold90
V10 rank ensemble 5590+5591,retention target0.300/hold0.900,0.3,0.9,legacy,test,45.22780609902806,2.1174996439140465,0.1256958743428565,0.0541275637515627,48.498290963469344,0.0144266889112362,same_engine_full_cost,backtest_results_temporal_retention_20260531\h3h5h7_seed5590_5591_rankens_test_legacy\temporal_retention_summary.csv
V10 rank ensemble 5590+5591,retention target0.300/hold0.800,0.3,0.8,legacy,test,46.00319461483788,2.10874888357483,0.123685472382629,0.0818128238712956,27.822844537042712,0.0219335471927018,same_engine_full_cost,backtest_results_temporal_retention_20260531\h3h5h7_seed5590_5591_rankens_test_legacy\temporal_retention_summary.csv
V10 rank ensemble 5590+5591,retention target0.200/hold0.900,0.2,0.9,legacy,test,45.40625671562397,2.08026389236197,0.1273948322016306,0.053701261365742,49.22149943080176,0.0143110970193209,same_engine_full_cost,backtest_results_temporal_retention_20260531\h3h5h7_seed5590_5591_rankens_test_legacy\temporal_retention_summary.csv
V10 rank ensemble 5590+5591,retention target0.200/hold0.800,0.2,0.8,legacy,test,45.65855518951665,2.065541672137688,0.1272659584936832,0.07920130429638,29.049140992417698,0.0212254336599634,same_engine_full_cost,backtest_results_temporal_retention_20260531\h3h5h7_seed5590_5591_rankens_test_legacy\temporal_retention_summary.csv
V9 topfocus average_w3,retention target0.030/hold0.250,0.03,0.25,legacy,val,64.11805978591715,1.5842416696451131,0.1662201587515846,0.2187787817479565,7.852290159982467,0.0448277954055546,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.030/hold0.300,0.03,0.3,legacy,val,62.94697745117603,1.5782207145587472,0.1538762897865639,0.1974995392544755,8.724129534940346,0.0404506552246456,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.050/hold0.250,0.05,0.25,legacy,val,60.30902728886882,1.5402922119646112,0.1527112320654893,0.222210567661762,7.68538748232875,0.0455337137680244,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.050/hold0.300,0.05,0.3,legacy,val,57.57255310773402,1.5020508751240205,0.1529899794470323,0.2005714558378901,8.551408551408551,0.041082548465854,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.075/hold0.250,0.075,0.25,legacy,val,56.52426837022249,1.4834556635698728,0.1469310135076096,0.2288385935060493,7.433860680858113,0.0468970986841943,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.075/hold0.300,0.075,0.3,legacy,val,55.00044847161952,1.4621937311756514,0.1447108157269064,0.2045462578714182,8.354961832061068,0.0419001652441507,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.030/hold0.400,0.03,0.4,legacy,val,55.73078276770804,1.4619834420548474,0.1582654548801242,0.1648827346631864,10.49194729136164,0.0337413785202174,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.050/hold0.400,0.05,0.4,legacy,val,54.33208899400683,1.4528967438925344,0.1518982374375913,0.1670466392553104,10.328151986183077,0.0341864936948173,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.125/hold0.250,0.125,0.25,legacy,val,53.58154852990205,1.4524524070851443,0.1372373395280518,0.2440229756004571,6.923343819393042,0.050020526081014,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.250,0.1,0.25,legacy,val,54.12472466999185,1.4518166452837509,0.1434882006937727,0.2361941722420096,7.188374467062991,0.0484101412301813,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.250,0.15,0.25,legacy,val,52.45565619526475,1.436921384226793,0.1366766309670875,0.2525524161686074,6.667693792693792,0.0517750320058825,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.075/hold0.400,0.075,0.4,legacy,val,52.29563996310161,1.423288868672983,0.1481215019974419,0.1680871251409221,10.24181216478375,0.0344005216414876,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.300,0.1,0.3,legacy,val,52.164405120326165,1.4213117664348114,0.1435397945381911,0.2083144662474436,8.176217471484188,0.0426752857070991,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.300,0.15,0.3,legacy,val,50.96436128739077,1.4149758701945006,0.1359382215441121,0.2189205818030693,7.738420440346418,0.0448569636768913,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.125/hold0.300,0.125,0.3,legacy,val,50.97242288600856,1.4073664957338112,0.1402470271289606,0.2134452270783002,7.954026043050757,0.0437306832100063,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.030/hold0.500,0.03,0.5,legacy,val,50.72849045468144,1.3793829432460687,0.1587650673291144,0.138512690462186,12.616197183098592,0.0283170604280716,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.100/hold0.400,0.1,0.4,legacy,val,48.74723503711782,1.36140135999315,0.1464074819674048,0.1696759833884189,10.136155800169348,0.0347273497829977,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.050/hold0.500,0.05,0.5,legacy,val,48.7103308975487,1.3523762596532138,0.1541556101489542,0.1399603149807956,12.479131886477465,0.0286148367915496,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.075/hold0.500,0.075,0.5,legacy,val,47.5557916523254,1.342213399462408,0.1518653841491253,0.1401315039049659,12.447850208044382,0.0286500503532514,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
V9 topfocus average_w3,retention target0.150/hold0.400,0.15,0.4,legacy,val,46.9068647558476,1.341411415878139,0.1418279683999909,0.1742612630541239,9.837377444267952,0.0356705418102332,same_engine_full_cost,backtest_results_v9_retention_20260531\topfocus_avgw3_val_legacy_finegrid\v9_retention_summary.csv
